ec,support_count,query_count,fallback_episodes
1.-.-.-,4,20,0
1.1.-.-,6,30,0
1.1.1.-,7,35,0
1.1.1.100,12,60,0
1.1.1.101,23,115,23
1.1.1.102,14,70,0
1.1.1.103,8,40,0
1.1.1.104,14,70,14
1.1.1.105,3,15,0
1.1.1.108,15,75,0
1.1.1.11,18,90,18
1.1.1.112,21,105,21
1.1.1.116,39,195,39
1.1.1.117,34,170,34
1.1.1.120,22,110,22
1.1.1.122,16,80,16
1.1.1.124,42,210,42
1.1.1.127,20,100,20
1.1.1.130,6,30,0
1.1.1.132,19,95,19
1.1.1.133,10,50,0
1.1.1.136,20,100,20
1.1.1.14,15,75,0
1.1.1.140,36,180,36
1.1.1.144,23,115,23
1.1.1.145,18,90,0
1.1.1.146,17,85,0
1.1.1.149,15,75,15
1.1.1.153,13,65,13
1.1.1.156,28,140,28
1.1.1.157,13,65,0
1.1.1.159,25,125,25
1.1.1.16,17,85,17
1.1.1.163,26,130,26
1.1.1.169,8,40,0
1.1.1.17,3,15,0
1.1.1.170,13,65,0
1.1.1.173,35,175,35
1.1.1.175,33,165,33
1.1.1.178,26,130,26
1.1.1.179,16,80,0
1.1.1.18,8,40,0
1.1.1.181,51,255,51
1.1.1.183,35,175,35
1.1.1.184,16,80,0
1.1.1.188,17,85,17
1.1.1.19,9,45,0
1.1.1.190,46,230,46
1.1.1.191,35,175,35
1.1.1.192,22,110,22
1.1.1.194,37,185,37
1.1.1.195,4,20,0
1.1.1.196,13,65,0
1.1.1.197,11,55,0
1.1.1.198,24,120,24
1.1.1.20,18,90,0
1.1.1.200,37,185,37
1.1.1.201,17,85,0
1.1.1.202,24,120,24
1.1.1.205,5,25,0
1.1.1.206,24,120,24
1.1.1.208,34,170,34
1.1.1.209,5,25,0
1.1.1.21,7,35,0
1.1.1.210,10,50,0
1.1.1.211,25,125,25
1.1.1.215,21,105,21
1.1.1.216,25,125,25
1.1.1.219,13,65,0
1.1.1.22,7,35,0
1.1.1.225,35,175,35
1.1.1.226,42,210,42
1.1.1.23,12,60,0
1.1.1.232,18,90,18
1.1.1.233,34,170,34
1.1.1.234,12,60,0
1.1.1.236,18,90,18
1.1.1.237,27,135,27
1.1.1.239,11,55,0
1.1.1.24,18,90,18
1.1.1.243,42,210,42
1.1.1.244,38,190,38
1.1.1.247,32,160,32
1.1.1.248,23,115,23
1.1.1.25,4,20,0
1.1.1.250,20,100,20
1.1.1.251,27,135,27
1.1.1.252,27,135,27
1.1.1.255,15,75,0
1.1.1.257,31,155,31
1.1.1.26,11,55,0
1.1.1.261,8,40,0
1.1.1.262,5,25,0
1.1.1.263,14,70,14
1.1.1.264,37,185,37
1.1.1.265,31,155,31
1.1.1.267,3,15,0
1.1.1.268,34,170,34
1.1.1.269,25,125,25
1.1.1.27,5,25,0
1.1.1.270,11,55,0
1.1.1.271,14,70,0
1.1.1.272,19,95,19
1.1.1.274,36,180,36
1.1.1.28,13,65,0
1.1.1.282,12,60,0
1.1.1.283,19,95,19
1.1.1.285,13,65,13
1.1.1.286,30,150,30
1.1.1.287,53,265,53
1.1.1.289,38,190,38
1.1.1.29,16,80,16
1.1.1.290,4,20,0
1.1.1.291,49,245,49
1.1.1.292,46,230,46
1.1.1.298,8,40,0
1.1.1.299,28,140,28
1.1.1.3,7,35,0
1.1.1.30,14,70,0
1.1.1.300,9,45,0
1.1.1.302,15,75,0
1.1.1.303,38,190,38
1.1.1.304,11,55,0
1.1.1.305,9,45,0
1.1.1.306,32,160,32
1.1.1.307,11,55,0
1.1.1.308,42,210,42
1.1.1.309,37,185,37
1.1.1.31,9,45,0
1.1.1.310,11,55,11
1.1.1.313,27,135,27
1.1.1.315,14,70,14
1.1.1.316,49,245,49
1.1.1.317,41,205,41
1.1.1.318,20,100,20
1.1.1.319,23,115,23
1.1.1.320,28,140,28
1.1.1.326,27,135,27
1.1.1.327,37,185,37
1.1.1.329,20,100,20
1.1.1.330,4,20,0
1.1.1.331,31,155,31
1.1.1.332,10,50,0
1.1.1.333,24,120,24
1.1.1.334,37,185,37
1.1.1.336,12,60,0
1.1.1.337,30,150,30
1.1.1.338,35,175,35
1.1.1.339,53,265,53
1.1.1.34,9,45,0
1.1.1.340,26,130,26
1.1.1.341,20,100,20
1.1.1.342,29,145,29
1.1.1.343,19,95,19
1.1.1.344,46,230,46
1.1.1.345,28,140,28
1.1.1.346,12,60,12
1.1.1.348,31,155,31
1.1.1.349,31,155,31
1.1.1.35,4,20,0
1.1.1.350,28,140,28
1.1.1.352,25,125,25
1.1.1.353,47,235,47
1.1.1.354,46,230,46
1.1.1.355,45,225,45
1.1.1.356,47,235,47
1.1.1.357,10,50,0
1.1.1.359,35,175,35
1.1.1.36,17,85,0
1.1.1.361,41,205,41
1.1.1.362,38,190,38
1.1.1.363,15,75,15
1.1.1.364,26,130,26
1.1.1.365,24,120,24
1.1.1.366,40,200,40
1.1.1.368,42,210,42
1.1.1.369,21,105,21
1.1.1.370,37,185,37
1.1.1.371,24,120,24
1.1.1.372,12,60,0
1.1.1.373,26,130,26
1.1.1.374,47,235,47
1.1.1.376,28,140,28
1.1.1.38,7,35,0
1.1.1.381,19,95,19
1.1.1.384,37,185,37
1.1.1.385,41,205,41
1.1.1.386,52,260,52
1.1.1.388,39,195,39
1.1.1.389,39,195,39
1.1.1.39,15,75,15
1.1.1.390,48,240,48
1.1.1.391,26,130,26
1.1.1.392,41,205,41
1.1.1.393,38,190,38
1.1.1.394,43,215,43
1.1.1.395,24,120,24
1.1.1.399,11,55,0
1.1.1.4,13,65,13
1.1.1.40,9,45,0
1.1.1.400,32,160,32
1.1.1.401,19,95,19
1.1.1.402,37,185,37
1.1.1.403,53,265,53
1.1.1.404,26,130,26
1.1.1.406,45,225,45
1.1.1.407,27,135,27
1.1.1.408,12,60,0
1.1.1.409,40,200,40
1.1.1.41,13,65,0
1.1.1.410,17,85,17
1.1.1.411,17,85,17
1.1.1.412,35,175,35
1.1.1.414,37,185,37
1.1.1.415,43,215,43
1.1.1.419,48,240,48
1.1.1.42,5,25,0
1.1.1.420,21,105,21
1.1.1.421,22,110,22
1.1.1.424,42,210,42
